kelas,kategori,target_bulan,materi
SMA 3,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
SMA 3,Adab/ Tatakrama,Februari,Ketika Menguap
SMA 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMA 3,Tulis Huruf Arab,Juli,Makna Juz 13
SMA 3,Tulis Huruf Arab,September - Oktober,Makna Juz 14
SMA 3,Tulis Huruf Arab,Agustus,Makna Juz 13
SMA 3,Materi Dasar Keagamaan,Januari,mandi junub
SMA 3,Akhlaq,Januari - Maret,Masyarakat
SMA 3,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
SMA 3,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
SMA 3,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
SMA 3,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
SMA 3,Hafalan Surat Al Qur'an,Juli - Agustus,Menderes hafalan Qur'an
SMA 3,Hafalan Surat Al Qur'an,Januari - Februari,Menderes hafalan Qur'an
SMA 3,Baca Huruf Al-Qur'an,Juli - Juni,Menderes Harian
SMA 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMA 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMA 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMA 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur'an Hadits Jama'ah
SMA 3,Materi Dasar Keagamaan,November,Pengetahuan halal dan harom
SMA 3,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
SMA 3,Akhlaq,Juli - Agustus,Pribadi
SMA 3,Materi Dasar Keagamaan,April,Puasa Romadlon
SMA 3,Materi Dasar Keagamaan,Mei,Puasa Sunnah
SMA 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMA 3,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
SMA 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMA 3,Adab/ Tatakrama,April,Tata krama bersepeda
SMA 3,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMA 3,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMA 3,Adab/ Tatakrama,Maret,Terhadap Kerabat
SMA 3,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
SMA 3,Adab/ Tatakrama,Maret,Terhadap Tetangga
SMA 3,Adab/ Tatakrama,November,Terhadap Ulil Amri
SMA 3,Materi Dasar Keagamaan,Desember,Thoharoh dan Sholat
SMA 3,Adab/ Tatakrama,Januari,Tidur
SMA 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 1,Materi Dasar Keagamaan,Juni,Aurot
Pra Nikah 1,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 1,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 1,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 1,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 1,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 1,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 1,Mandiri,Februari,Dalam Keluarga
Pra Nikah 1,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 1,Materi Dasar Keagamaan,Februari,"hukum haid, mani, madzi, wadhi"
Pra Nikah 1,Materi Dasar Keagamaan,Mei,hukum mahrom
Pra Nikah 1,Materi Dasar Keagamaan,Agustus,"ilmu manqul, musnad, muttashil"
Pra Nikah 1,Tulis Huruf Arab,Juli - Oktober,Juz 1 - 2
Pra Nikah 1,Tulis Huruf Arab,Januari - April,Juz 2 - 3
Pra Nikah 1,Tulis Huruf Arab,November - Desember,K. Manasikil Haji (113)
Pra Nikah 1,Tulis Huruf Arab,Mei - Juni,K. Nikah
Pra Nikah 1,Materi Dasar Keagamaan,April,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
Pra Nikah 1,Akhlaq,September - Oktober,Keluarga
Pra Nikah 1,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 1,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 1,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 1,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 1,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 1,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 1,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 1,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 1,Mandiri,Mei - Juni,Keterampilan Generus Putri
Pra Nikah 1,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 1,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 1,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 1,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 1,Materi Dasar Keagamaan,Januari,mandi junub
Pra Nikah 1,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 1,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 1,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 1,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 1,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 1,Baca Huruf Al-Qur'an,Juli - Desember,Menderes Juz 19-20
Pra Nikah 1,Baca Huruf Al-Qur'an,Januari - Juni,Menderes Juz 21-22
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Fiil
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Humazah
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Asr
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat At Takasur
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Qoriah
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Adiyat
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Az Zalzalah
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Falaq
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Ikhlas
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Lahab
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat An Nasr
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Kafirun
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Kautsar
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Maun
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Quroisy
Pra Nikah 1,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 1,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 1,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 1,Materi Dasar Keagamaan,Agustus,Pengertian Qur'an Hadits Jama'ah
Pra Nikah 1,Materi Dasar Keagamaan,November,Pengetahuan halal dan harom
Pra Nikah 1,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 1,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 1,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 1,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 1,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 1,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 1,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 1,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 1,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 1,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 1,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 1,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 1,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 1,Materi Dasar Keagamaan,Desember,Thoharoh dan Sholat
Pra Nikah 1,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 2,Materi Dasar Keagamaan,Juni,Aurot
Pra Nikah 2,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 2,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 2,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 2,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 2,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 2,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 2,Mandiri,Februari,Dalam Keluarga
Pra Nikah 2,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 2,Materi Dasar Keagamaan,Februari,"hukum haid, mani, madzi, wadhi"
Pra Nikah 2,Materi Dasar Keagamaan,Mei,hukum mahrom
Pra Nikah 2,Materi Dasar Keagamaan,Agustus,"ilmu manqul, musnad, muttashil"
Pra Nikah 2,Tulis Huruf Arab,Juli - Oktober,Juz 4-5
Pra Nikah 2,Tulis Huruf Arab,Januari - Februari,Juz 5-6
Pra Nikah 2,Tulis Huruf Arab,Mei - Juni,K. Faroidh
Pra Nikah 2,Tulis Huruf Arab,Maret - April,K. Kanzil Umal (90 - 116)
Pra Nikah 2,Tulis Huruf Arab,November - Desember,K. Kanzil Ummal (1-90)
Pra Nikah 2,Materi Dasar Keagamaan,April,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
Pra Nikah 2,Akhlaq,September - Oktober,Keluarga
Pra Nikah 2,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 2,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 2,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 2,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 2,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 2,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 2,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 2,Mandiri,Mei - Juni,Keterampilan Generus Putri
Pra Nikah 2,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 2,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 2,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 2,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 2,Materi Dasar Keagamaan,Januari,mandi junub
Pra Nikah 2,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 2,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 2,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 2,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 2,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Bayinah
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Qodr
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Alaq
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat At Tin
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat As Syarh
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Ad Dhuha
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Lail
Pra Nikah 2,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat As Syams
Pra Nikah 2,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Balad
Pra Nikah 2,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Fajr
Pra Nikah 2,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Ghosiyah
Pra Nikah 2,Baca Huruf Al-Qur'an,Juli - Desember,Menderes Juz 23-24
Pra Nikah 2,Baca Huruf Al-Qur'an,Januari - Juni,Menderes Juz 25-26
Pra Nikah 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur'an Hadits Jama'ah
Pra Nikah 2,Materi Dasar Keagamaan,November,Pengetahuan halal dan harom
Pra Nikah 2,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 2,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 2,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 2,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 2,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 2,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 2,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 2,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 2,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 2,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 2,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 2,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 2,Materi Dasar Keagamaan,Desember,Thoharoh dan Sholat
Pra Nikah 2,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 3,Materi Dasar Keagamaan,Juni,Aurot
Pra Nikah 3,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 3,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 3,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 3,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 3,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 3,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 3,Mandiri,Februari,Dalam Keluarga
Pra Nikah 3,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 3,Materi Dasar Keagamaan,Februari,"hukum haid, mani, madzi, wadhi"
Pra Nikah 3,Materi Dasar Keagamaan,Mei,hukum mahrom
Pra Nikah 3,Materi Dasar Keagamaan,Agustus,"ilmu manqul, musnad, muttashil"
Pra Nikah 3,Materi Dasar Keagamaan,April,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
Pra Nikah 3,Akhlaq,September - Oktober,Keluarga
Pra Nikah 3,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 3,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 3,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 3,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 3,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 3,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 3,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 3,Mandiri,Mei - Juni,Keterampilan Generus Putri
Pra Nikah 3,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 3,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 3,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 3,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 3,Materi Dasar Keagamaan,Januari,mandi junub
Pra Nikah 3,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 3,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 3,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 3,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 3,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 3,Baca Huruf Al-Qur'an,Juli - Desember,Menderes Juz 27 - 28
Pra Nikah 3,Baca Huruf Al-Qur'an,Januari - Juni,Menderes Juz 29 - 30
Pra Nikah 3,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al A'la
Pra Nikah 3,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat At Thoriq
Pra Nikah 3,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Buruj
Pra Nikah 3,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Al Insyiqaq
Pra Nikah 3,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Mutaffifin
Pra Nikah 3,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat Al Infitar
Pra Nikah 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur'an Hadits Jama'ah
Pra Nikah 3,Materi Dasar Keagamaan,November,Pengetahuan halal dan harom
Pra Nikah 3,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 3,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 3,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 3,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 3,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 3,Tulis Huruf Arab,Juli - Desember,Sunan Ibnu Majjah 1
Pra Nikah 3,Tulis Huruf Arab,Januari - Juni,Sunan Ibnu Majjah 2
Pra Nikah 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 3,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 3,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 3,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 3,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 3,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 3,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 3,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 3,Materi Dasar Keagamaan,Desember,Thoharoh dan Sholat
Pra Nikah 3,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 4,Materi Dasar Keagamaan,Juni,Aurot
Pra Nikah 4,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 4,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 4,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 4,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 4,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 4,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 4,Mandiri,Februari,Dalam Keluarga
Pra Nikah 4,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 4,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 4,Materi Dasar Keagamaan,Februari,"hukum haid, mani, madzi, wadhi"
Pra Nikah 4,Materi Dasar Keagamaan,Mei,hukum mahrom
Pra Nikah 4,Materi Dasar Keagamaan,Agustus,"ilmu manqul, musnad, muttashil"
Pra Nikah 4,Materi Dasar Keagamaan,April,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
Pra Nikah 4,Akhlaq,September - Oktober,Keluarga
Pra Nikah 4,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 4,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 4,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 4,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 4,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 4,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 4,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 4,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 4,Mandiri,Mei - Juni,Keterampilan Generus Putri
Pra Nikah 4,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 4,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 4,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 4,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 4,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 4,Materi Dasar Keagamaan,Januari,mandi junub
Pra Nikah 4,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 4,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 4,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 4,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 4,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 4,Baca Huruf Al-Qur'an,Juli - Desember,Menderes juz 1 - 2
Pra Nikah 4,Baca Huruf Al-Qur'an,Januari - Juni,Menderes juz 3 - 4
Pra Nikah 4,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat An Naziat
Pra Nikah 4,Hafalan Surat Al Qur'an,Januari - Juni,Menderes Surat An Naba
Pra Nikah 4,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat At Takwir
Pra Nikah 4,Hafalan Surat Al Qur'an,Juli - Desember,Menderes Surat Abasa
Pra Nikah 4,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 4,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 4,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 4,Materi Dasar Keagamaan,Agustus,Pengertian Qur'an Hadits Jama'ah
Pra Nikah 4,Materi Dasar Keagamaan,November,Pengetahuan halal dan harom
Pra Nikah 4,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 4,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 4,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 4,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 4,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 4,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 4,Tulis Huruf Arab,Juli - Desember,Sunan Ibnu Majjah 3
Pra Nikah 4,Tulis Huruf Arab,Januari - Juni,Sunan Ibnu Majjah 4
Pra Nikah 4,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 4,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 4,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 4,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 4,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 4,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 4,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 4,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 4,Materi Dasar Keagamaan,Desember,Thoharoh dan Sholat
Pra Nikah 4,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 4,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
